time_s,mode,temp_C,r_internal_ohm,terminal_voltage_V,motor_power_kW,cumulative_energy_kWh
0,no_heating,-20,0.182845,295.146,88.5439,0.0245955
1,no_heating,-19.8903,0.182094,295.372,88.6115,0.0492098
2,no_heating,-19.781,0.18135,295.595,88.6785,0.0738428
3,no_heating,-19.6722,0.180613,295.816,88.7449,0.0984941
4,no_heating,-19.5639,0.179882,296.036,88.8107,0.123164
5,no_heating,-19.456,0.179157,296.253,88.8758,0.147851
6,no_heating,-19.3485,0.178439,296.468,88.9405,0.172557
7,no_heating,-19.2415,0.177728,296.682,89.0045,0.197281
8,no_heating,-19.1349,0.177023,296.893,89.068,0.222022
9,no_heating,-19.0287,0.176324,297.103,89.1309,0.24678
10,no_heating,-18.923,0.175631,297.311,89.1932,0.271556
11,no_heating,-18.8177,0.174944,297.517,89.255,0.296349
12,no_heating,-18.7128,0.174263,297.721,89.3163,0.321159
13,no_heating,-18.6083,0.173588,297.924,89.3771,0.345986
14,no_heating,-18.5042,0.172919,298.124,89.4373,0.37083
15,no_heating,-18.4005,0.172255,298.323,89.497,0.39569
16,no_heating,-18.2973,0.171598,298.521,89.5562,0.420567
17,no_heating,-18.1944,0.170945,298.716,89.6149,0.44546
18,no_heating,-18.0919,0.170298,298.91,89.6731,0.470369
19,no_heating,-17.9898,0.169657,299.103,89.7309,0.495294
20,no_heating,-17.8882,0.169021,299.294,89.7881,0.520236
21,no_heating,-17.7869,0.16839,299.483,89.8449,0.545193
22,no_heating,-17.6859,0.167765,299.67,89.9011,0.570165
23,no_heating,-17.5854,0.167145,299.857,89.957,0.595153
24,no_heating,-17.4852,0.166529,300.041,90.0123,0.620157
25,no_heating,-17.3855,0.165919,300.224,90.0673,0.645175
26,no_heating,-17.286,0.165314,300.406,90.1217,0.670209
27,no_heating,-17.187,0.164714,300.586,90.1758,0.695258
28,no_heating,-17.0883,0.164118,300.765,90.2294,0.720322
29,no_heating,-16.99,0.163528,300.942,90.2825,0.7454
